 engine bench mean min max variance standard-deviation
jsc-jsc array-every 86.88888888888889 82.0 92.0 10.320987654320986 3.2126293988446575
js-js array-every 261.0 225.0 295.0 459.77777777777777 21.442429381433854
js-js array-every 245.55555555555554 216.0 277.0 287.58024691358025 16.958191145095054
mujs array-every 175.0 171.0 179.0 8.666666666666666 2.943920288775949
node-node array-every 51.125 51.0 52.0 0.109375 0.33071891388307384
node-node array-every 67.125 67.0 68.0 0.109375 0.33071891388307384
qjs array-every 62.44444444444444 59.0 66.0 4.246913580246915 2.0608041101101566
rhino-jit array-every 1204.111111111111 1137.0 1283.0 2027.4320987654323 45.02701521048705
rhino-nojit array-every 6209.111111111111 6170.0 6278.0 1216.0987654320988 34.87260766607652
ch-jit array-forloop 30.333333333333332 28.0 34.0 3.5555555555555554 1.8856180831641267
ch-nojit array-forloop 81.75 80.0 83.0 1.4375 1.1989578808281798
d8-d8 array-forloop 9.0 9.0 9.0 0.0 0.0
d8-d8 array-forloop 19.25 19.0 20.0 0.1875 0.4330127018922193
duk array-forloop 90.875 89.0 92.0 1.109375 1.0532687216470449
espruino array-forloop 2521.222222222222 2519.0 2524.0 2.839506172839506 1.6850834320114556
hermes-gengc array-forloop 778.25 776.0 780.0 1.9375 1.3919410907075054
hermes-hades array-forloop 816.4444444444445 812.0 821.0 7.358024691358025 2.7125679146074897
hermes-malloc array-forloop 746.6666666666666 742.0 756.0 23.555555555555557 4.853406592853679
jerry-512k array-forloop 55.333333333333336 52.0 59.0 5.777777777777778 2.4037008503093262
jerry-6m array-forloop 68.375 68.0 69.0 0.234375 0.4841229182759271
js-24-js array-forloop 8.0 8.0 8.0 0.0 0.0
js-24-js array-forloop 67.66666666666667 64.0 76.0 13.333333333333334 3.6514837167011076
js-52-js array-forloop 30.125 30.0 31.0 0.109375 0.33071891388307384
js-52-js array-forloop 99.0 98.0 101.0 1.5 1.224744871391589
jsc-jsc array-forloop 20.0 15.0 27.0 14.0 3.7416573867739413
jsc-jsc array-forloop 18.0 18.0 18.0 0.0 0.0
js-js array-forloop 122.125 116.0 127.0 9.109375 3.018174116912409
js-js array-forloop 121.33333333333333 115.0 128.0 22.0 4.69041575982343
mujs array-forloop 82.125 81.0 83.0 0.609375 0.7806247497997998
node-node array-forloop 47.25 47.0 49.0 0.4375 0.6614378277661477
node-node array-forloop 59.75 59.0 60.0 0.1875 0.4330127018922193
qjs array-forloop 19.125 19.0 20.0 0.109375 0.33071891388307384
rhino-jit array-forloop 602.8888888888889 594.0 618.0 94.5432098765432 9.723333269848524
rhino-nojit array-forloop 2004.0 1986.0 2019.0 109.33333333333333 10.456258094238748
ch-jit array-forEach 88.125 78.0 100.0 58.359375 7.639330795298761
ch-nojit array-forEach 6397.111111111111 6295.0 6527.0 4986.098765432099 70.6123131290294
d8-d8 array-forEach 22.125 21.0 23.0 0.609375 0.7806247497997998
d8-d8 array-forEach 667.7777777777778 660.0 678.0 49.95061728395062 7.067575063906334
duk array-forEach 3556.0 3551.0 3562.0 9.75 3.122498999199199
espruino array-forEach 80529.11111111111 80306.0 80906.0 30971.876543209873 175.98828524424536
hermes-gengc array-forEach 59435.88888888889 59111.0 59889.0 89112.54320987655 298.517241059669
hermes-hades array-forEach 59963.75 59857.0 60159.0 12641.1875 112.43303562565586
hermes-malloc array-forEach 57807.0 57549.0 58047.0 32103.555555555555 179.17465098488557
jerry-512k array-forEach 2100.8888888888887 2096.0 2108.0 18.098765432098766 4.254264382017033
jerry-6m array-forEach 2048.1111111111113 2044.0 2054.0 9.876543209876543 3.1426968052735447
js-24-js array-forEach 140.625 140.0 142.0 0.484375 0.6959705453537527
js-24-js array-forEach 3669.875 3467.0 3912.0 16319.859375 127.7492049877415
js-52-js array-forEach 40.625 40.0 41.0 0.234375 0.4841229182759271
js-52-js array-forEach 4007.4444444444443 3984.0 4037.0 275.358024691358 16.593915291195085
jsc-jsc array-forEach 63.75 62.0 66.0 1.4375 1.1989578808281798
jsc-jsc array-forEach 1460.111111111111 1451.0 1473.0 37.4320987654321 6.118177732416091
js-js array-forEach 315.6666666666667 286.0 353.0 396.66666666666674 19.91649232838621
js-js array-forEach 317.8888888888889 295.0 343.0 245.2098765432099 15.659178667580555
mujs array-forEach 3103.6666666666665 3036.0 3176.0 2022.888888888889 44.976537093120996
node-node array-forEach 61.125 61.0 62.0 0.109375 0.33071891388307384
node-node array-forEach 718.0 705.0 730.0 73.77777777777777 8.589399151150083
qjs array-forEach 772.875 768.0 782.0 18.109375 4.2555111326373005
rhino-jit array-forEach 1858.7777777777778 1776.0 1984.0 4266.172839506173 65.31594628807098
rhino-nojit array-forEach 66488.22222222222 65810.0 67065.0 145225.95061728396 381.085227498107
ch-jit array-some 54.375 50.0 59.0 9.234375 3.0388114452858046
ch-nojit array-some 316.55555555555554 313.0 322.0 6.91358024691358 2.629368792488718
d8-d8 array-some 11.25 11.0 12.0 0.1875 0.4330127018922193
d8-d8 array-some 25.25 25.0 26.0 0.1875 0.4330127018922193
duk array-some 234.22222222222223 228.0 246.0 32.839506172839506 5.730576425878946
espruino array-some 2723.5555555555557 2719.0 2728.0 12.913580246913577 3.593547028621384
hermes-gengc array-some 3508.777777777778 3503.0 3514.0 13.728395061728396 3.705184889007348
hermes-hades array-some 2790.222222222222 2779.0 2802.0 38.17283950617284 6.178417233092375
hermes-malloc array-some 2842.5555555555557 2833.0 2851.0 32.24691358024692 5.678636595191395
jerry-512k array-some 72.0 72.0 72.0 0.0 0.0
