engine,bench,pkg-power,time,power
rhino-jit,array-forEach,83.04465569,2118.444444,0.03920077107
rhino-nojit,array-forEach,2919.362428,71460.11111,0.04085303511
ch-jit,array-some,2.039405823,57.66666667,0.03536541889
ch-nojit,array-some,13.34280565,340.2222222,0.03921791341
d8-jit,array-some,0.6017642551,30,0.0200588085
d8-nojit,array-some,1.162729899,29,0.04009413445
duk,array-some,11.13173485,291.5,0.03818776963
espruino,array-some,125.0117577,3207.875,0.03897027089
hermes-gengc,array-some,162.5590134,4088.75,0.03975763091
hermes-hades,array-some,124.6732212,3131,0.03981897833
hermes-malloc,array-some,125.7666988,3139.125,0.0400642532
jerry-512k,array-some,3.458619859,115.7777778,0.02987291625
jerry-6m,array-some,3.996948242,115.5,0.03460561249
js-24-jit,array-some,0.8150177002,20.125,0.04049777392
js-24-nojit,array-some,9.039241791,230.125,0.0392797036
js-52-jit,array-some,1.538869222,50.88888889,0.03023978821
js-52-nojit,array-some,18.94466019,479.625,0.03949890057
js-jit,array-some,11.01057434,286.625,0.03841456377
js-nojit,array-some,11.03738234,284,0.03886402232
jsc-jit,array-some,1.252595901,32.25,0.03884018299
jsc-nojit,array-some,4.320962906,121.375,0.03560010633
mujs,array-some,7.962835312,209.125,0.03807691721
node-jit,array-some,2.120188395,54,0.03926274806
node-nojit,array-some,3.086288452,107,0.02884381731
qjs,array-some,2.715020074,66.66666667,0.04072530111
rhino-jit,array-some,52.66601054,1367.333333,0.03851731634
rhino-nojit,array-some,264.4226515,6698.5,0.03947490505
ch-jit,array-findIndex,2.091629028,56.625,0.03693826099
ch-nojit,array-findIndex,5.864364624,152,0.03858134621
d8-jit,array-findIndex,0.5537363688,20.88888889,0.02650865595
d8-nojit,array-findIndex,1.282026503,42.55555556,0.03012594915
duk,array-findIndex,0.08386060927,2,0.04193030463
espruino,array-findIndex,126.4321493,3245.444444,0.03895680589
hermes-gengc,array-findIndex,154.8812781,3905.25,0.0396597601
hermes-hades,array-findIndex,117.3802299,2957.75,0.03968564955
hermes-malloc,array-findIndex,118.8215332,2995.666667,0.03966447086
jerry-512k,array-findIndex,3.463729858,115.1111111,0.0300903173
jerry-6m,array-findIndex,4.183158027,134.5555556,0.0310887054
js-24-jit,array-findIndex,0.3502332899,8,0.04377916124
js-24-nojit,array-findIndex,0.3370123969,8,0.04212654961
js-52-jit,array-findIndex,1.402822495,35.125,0.03993800696
js-52-nojit,array-findIndex,18.56955338,468.875,0.039604486
js-jit,array-findIndex,11.1279992,279.875,0.03976060455
js-nojit,array-findIndex,11.02207608,288.875,0.03815517465
jsc-jit,array-findIndex,1.269353867,44.44444444,0.028560462
jsc-nojit,array-findIndex,3.742714776,123.1111111,0.0304011128
mujs,array-findIndex,0.06234063043,1.666666667,0.03740437826
node-jit,array-findIndex,2.362492879,88,0.02684650999
node-nojit,array-findIndex,3.107520209,107.7777778,0.02883266174
qjs,array-findIndex,3.092141045,105,0.02944896234
rhino-jit,array-findIndex,52.33659193,1362.875,0.03840160832
rhino-nojit,array-findIndex,266.2070957,6748.5,0.03944685422
ch-jit,array-find,2.061571121,55.625,0.03706195274
ch-nojit,array-find,6.199369642,186.8888889,0.03317141901
d8-jit,array-find,0.4590606689,11,0.04173278809
d8-nojit,array-find,1.303500705,33.5,0.03891046881
duk,array-find,0.07836914063,2.222222222,0.03526611328
espruino,array-find,124.4212731,3178.75,0.03914157236
hermes-gengc,array-find,155.2871145,3899.555556,0.03982174693
hermes-hades,array-find,117.8013992,2947.375,0.03996824267
hermes-malloc,array-find,119.7353261,2979.75,0.0401830107
jerry-512k,array-find,3.506588406,116.6666667,0.03005647205
jerry-6m,array-find,4.267100016,135.3333333,0.03153029569
js-24-jit,array-find,0.3435668945,8,0.04294586182
js-24-nojit,array-find,0.3366394043,8,0.04207992554
js-52-jit,array-find,1.399179459,35.25,0.03969303429
js-52-nojit,array-find,18.59209527,470.875,0.0394841418
js-jit,array-find,10.76531982,301.5555556,0.03569929197
js-nojit,array-find,11.09277344,282.6666667,0.03924330226
jsc-jit,array-find,1.252788968,45.77777778,0.02736674929
jsc-nojit,array-find,3.837090386,125.6666667,0.03053387575
mujs,array-find,0.05923461914,1.444444444,0.04100858248
node-jit,array-find,2.125332303,54.125,0.03926710952
node-nojit,array-find,3.102059258,107.2222222,0.02893112262
qjs,array-find,2.974800958,102,0.02916471527
rhino-jit,array-find,51.1696701,1330.25,0.03846620568
rhino-nojit,array-find,265.6889208,6730.375,0.03947609468
ch-jit,iter-linked-list,82.22430229,2087,0.03939832405
ch-nojit,iter-linked-list,142.8140784,3565.125,0.04005864547
d8-jit,iter-linked-list,9.903764725,249,0.03977415552
d8-nojit,iter-linked-list,33.36332533,845.375,0.03946571087
duk,iter-linked-list,344.2705231,8569.333333,0.04017471484
espruino,iter-linked-list,3071.586271,74972,0.040969779
hermes-gengc,iter-linked-list,11708.1451,283124,0.04135341795
hermes-hades,iter-linked-list,5445.101755,132109.3333,0.04121663184
hermes-malloc,iter-linked-list,5942.445202,143277,0.04147522074
jerry-512k,iter-linked-list,198.736579,4953.444444,0.04012088584
jerry-6m,iter-linked-list,212.275667,5259.25,0.04036234577
js-24-jit,iter-linked-list,16.65513272,399.75,0.04166387171
js-24-nojit,iter-linked-list,82.07255385,2070.888889,0.03963155835
js-52-jit,iter-linked-list,22.499403,559.875,0.04018647555
js-52-nojit,iter-linked-list,101.6599392,2493.875,0.04076384712
js-jit,iter-linked-list,46.63531685,1173.625,0.03973613109
js-nojit,iter-linked-list,45.6293691,1146,0.0398162034
jsc-jit,iter-linked-list,24.24456957,601.4444444,0.04031057197
jsc-nojit,iter-linked-list,66.27650261,1649.125,0.04018888963
mujs,iter-linked-list,210.9645759,5220.666667,0.04040950885
node-jit,iter-linked-list,12.80449422,327.875,0.03905297513
node-nojit,iter-linked-list,35.10354233,892.125,0.03934823296
qjs,iter-linked-list,110.3967628,2723.625,0.04053302597
rhino-jit,iter-linked-list,165.4417487,4155.222222,0.03981537927
rhino-nojit,iter-linked-list,8462.123352,205809,0.04111639118
ch-jit,double-linked-list,20.03408135,518.8888889,0.03860957862
ch-nojit,double-linked-list,464.9831763,11705.55556,0.03972328986
d8-jit,double-linked-list,2.939710829,72,0.04082931707
d8-nojit,double-linked-list,143.0161167,3554.625,0.04023381276
duk,double-linked-list,684.2810154,16927.55556,0.04042408918
espruino,double-linked-list,19134.76968,462750,0.04135012357
hermes-gengc,double-linked-list,21226.61407,511027.4444,0.04153713132
hermes-hades,double-linked-list,16751.28475,403971.5556,0.04146649564
hermes-malloc,double-linked-list,14126.88895,340284.5556,0.04151492836
jerry-512k,double-linked-list,619.1508348,15664,0.03952699405
jerry-6m,double-linked-list,605.6110975,15374.33333,0.03939104769
js-24-jit,double-linked-list,59.18238152,1441.5,0.04105610928
js-24-nojit,double-linked-list,593.1236572,14569.77778,0.04070917664
js-52-jit,double-linked-list,5.093161689,125.125,0.04070458892
js-52-nojit,double-linked-list,1376.73722,33083.77778,0.04161366423
js-jit,double-linked-list,30.47764757,803.8888889,0.03791276132
js-nojit,double-linked-list,30.55535719,776.8888889,0.03933040828
jsc-jit,double-linked-list,1.831712723,60.33333333,0.03035987938
